"Scenario","n","Bartlett LW","Bartlett sandwich","Exact flat-top","Hard truncation"
"AR(1), rho = 0.4",300,"1.127 (0.441)","1.122 (0.430)","0.939 (0.636)","1.198 (0.862)"
"AR(1), rho = 0.4",600,"1.001 (0.352)","1.002 (0.348)","0.682 (0.469)","0.835 (0.599)"
"AR(1), rho = 0.4",1200,"0.939 (0.295)","0.939 (0.291)","0.517 (0.335)","0.593 (0.420)"
"AR(1), rho = 0.8",300,"7.548 (3.629)","7.335 (2.895)","6.622 (5.892)","7.169 (8.205)"
"AR(1), rho = 0.8",600,"5.781 (2.725)","5.803 (2.689)","4.768 (3.263)","5.127 (4.049)"
"AR(1), rho = 0.8",1200,"4.715 (2.161)","4.758 (2.108)","3.562 (2.379)","3.932 (2.892)"
"Truncated linear, beta = 2.2",300,"1.221 (0.357)","1.215 (0.351)","1.012 (0.488)","1.104 (0.684)"
"Truncated linear, beta = 2.2",600,"1.129 (0.339)","1.126 (0.332)","0.880 (0.425)","0.905 (0.560)"
"Truncated linear, beta = 2.2",1200,"1.052 (0.300)","1.049 (0.302)","0.729 (0.311)","0.694 (0.361)"
