"Scenario","n","Bartlett LW","Bartlett sandwich","Exact flat-top","Hard truncation"
"AR(1), rho = 0.4",300,"3.2\%","0.0\%","20.0\%","93.2\%"
"AR(1), rho = 0.4",600,"0.4\%","0.0\%","5.8\%","19.8\%"
"AR(1), rho = 0.4",1200,"0.0\%","0.0\%","0.6\%","4.6\%"
"AR(1), rho = 0.8",300,"36.8\%","0.0\%","91.0\%","100.0\%"
"AR(1), rho = 0.8",600,"19.0\%","0.0\%","60.8\%","97.4\%"
"AR(1), rho = 0.8",1200,"6.0\%","0.0\%","27.6\%","69.6\%"
"Truncated linear, beta = 2.2",300,"2.6\%","0.0\%","14.0\%","93.2\%"
"Truncated linear, beta = 2.2",600,"0.8\%","0.0\%","5.8\%","19.4\%"
"Truncated linear, beta = 2.2",1200,"0.0\%","0.0\%","0.4\%","3.8\%"
